event_type,event_cause,latitude,longitude,corridor,zone,police_station,junction,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime
Vehicle Breakdown,Breakdown,12.9879767,77.5094764,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Truck,2024-02-04 19:54:13,2024-02-04 21:41:37
Waterlogging,Waterlogging,12.966254,77.625327,Other Corridor,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,Low,False,None,2024-03-09 07:47:29,2024-03-09 18:22:14
Other,Tree Fall,12.9063647,77.5797301,ORR West 1,West Zone,J.P. Nagar Traffic PS,Junction near J.P. Nagar Traffic PS,High,False,None,2024-03-09 07:49:18,2024-03-09 18:17:19
Vehicle Breakdown,Breakdown,12.9454287,77.5282021,ORR West 1,West Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Bus,2024-02-04 22:31:03,2024-02-04 23:10:27
Accident,Accident,13.0379984,77.5219185,Tumkur Road,West Zone,Peenya Traffic PS,Namma Metro Circle,High,False,None,2024-02-04 23:10:41,2024-02-04 23:45:04
Vehicle Breakdown,Breakdown,13.0456229,77.5063447,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,Car,2024-02-05 00:06:55,2024-02-05 00:52:11
Vehicle Breakdown,Breakdown,12.9481048,77.5732898,Other Corridor,Central Zone,Basavanagudi Traffic PS,Vanivilas Circle,Low,False,Bus,2024-02-05 00:51:42,2024-02-05 01:37:19
Protest,Procession,12.9299316,77.6761985,Other Corridor,Central Zone,Bellandur Traffic PS,Junction near Bellandur Traffic PS,Medium,True,None,2024-02-05 00:25:25,2024-02-05 06:05:46
Vehicle Breakdown,Breakdown,12.9897616,77.5020282,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Truck,2024-02-05 01:50:50,2024-02-05 03:08:35
Other,Other,12.9694415,77.7006984,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-05 02:57:14,2024-02-05 05:47:48
Other,Other,13.0020031,77.6796905,ORR East 2,Whitefield Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,High,False,None,2024-02-05 03:06:41,2024-02-05 03:24:45
Vehicle Breakdown,Breakdown,13.0418888,77.5476664,ORR North 2,West Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,Bus,2024-02-05 03:31:36,2024-02-05 05:01:47
Waterlogging,Waterlogging,12.9613179,77.6318647,Other Corridor,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,Low,False,None,2024-03-09 07:59:17,2024-03-10 01:22:41
Vehicle Breakdown,Breakdown,13.0757816,77.5904347,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Car,2024-02-05 05:39:24,2024-02-05 05:51:38
Waterlogging,Waterlogging,12.9613255,77.6317795,Other Corridor,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,Low,False,None,2024-03-09 08:02:46,2024-03-10 01:22:43
Other,Tree Fall,12.9289423,77.6179915,Hosur Road,South Zone,Adugodi Traffic PS,Junction near Adugodi Traffic PS,High,False,None,2024-03-09 08:04:54,2024-03-09 09:07:06
Vehicle Breakdown,Breakdown,13.0929683,77.59668,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Truck,2024-02-05 12:36:33,2024-02-05 13:53:31
Vehicle Breakdown,Breakdown,12.9681574,77.6061899,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Shoolay Circle,High,False,Truck,2024-02-05 19:23:35,2024-02-05 20:25:22
Vehicle Breakdown,Breakdown,12.9561486,77.7009942,Varthur Road,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Truck,2024-02-05 19:22:40,2024-02-05 20:00:09
Vehicle Breakdown,Breakdown,12.9458905,77.5284091,ORR West 1,West Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Other,2024-02-05 19:51:05,2024-02-05 20:30:40
Signal Failure,Congestion,13.041233,77.6223217,Hennur Main Road,Central Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,None,2024-02-05 20:46:01,2024-02-05 21:27:06
Other,Other,12.9424905,77.7467855,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Ksrtc Travel House Junction,Low,False,None,2024-03-09 10:26:12,2024-03-09 19:53:15
Vehicle Breakdown,Breakdown,13.030281,77.585662,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2024-02-05 22:08:54,2024-02-05 23:59:34
Vehicle Breakdown,Breakdown,12.9841406,77.7519672,Other Corridor,Whitefield Zone,Mahadevapura Traffic PS,Hope Farm Circle,Low,False,Truck,2024-03-09 19:02:31,2024-03-09 20:18:22
Other,Other,12.953515,77.5003879,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,None,2024-02-05 22:22:41,2024-02-05 22:42:06
Vehicle Breakdown,Breakdown,13.0028466,77.5838445,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Mahalakshmi Mandir Circle,High,False,Other,2024-02-06 00:07:14,2024-02-06 00:28:43
Vehicle Breakdown,Breakdown,12.9597916,77.6415806,Old Airport Road,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,High,False,Bus,2024-02-05 23:35:37,2024-02-05 23:45:54
Vehicle Breakdown,Breakdown,12.9364,77.5185545,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Rajarajeshwari Junction,High,False,Bus,2024-02-05 22:57:32,2024-02-06 00:15:34
Vehicle Breakdown,Breakdown,13.0293051,77.5402265,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Other,2024-03-09 20:03:56,2024-03-09 20:12:53
Vehicle Breakdown,Breakdown,12.9608088,77.6386153,Old Airport Road,Central Zone,Halasur Traffic PS,Dr Rajkumar Circle,High,False,Bus,2024-03-09 20:20:48,2024-03-09 21:46:08
Vehicle Breakdown,Breakdown,13.0019858,77.5838626,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,LCV,2024-03-09 19:27:13,2024-03-09 20:41:17
Road Repair,Construction,12.9698023,77.7004597,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-03-09 21:07:10,2024-03-10 10:05:46
Vehicle Breakdown,Breakdown,12.9462817,77.6072168,Hosur Road,South Zone,Adugodi Traffic PS,Junction near Adugodi Traffic PS,High,False,Truck,2024-02-06 02:34:32,2024-02-06 03:32:01
Accident,Accident,13.050612,77.5933747,Bellary Road 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,None,2024-02-06 04:47:36,2024-02-06 05:03:52
Vehicle Breakdown,Breakdown,13.0168373,77.5840601,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,Bus,2024-03-09 23:09:17,2024-03-10 00:37:57
Vehicle Breakdown,Breakdown,13.0468824,77.5756714,ORR North 2,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2024-03-10 00:15:37,2024-03-10 01:04:57
Road Repair,Road Conditions,12.9018662,77.6011464,Bannerghata Road,Central Zone,Mico Layout Traffic PS,Bilekahalli Junction,High,False,None,2024-02-06 06:21:46,2024-02-06 07:03:02
Vehicle Breakdown,Breakdown,13.0879383,77.5940317,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Bus,2024-02-06 18:31:15,2024-02-06 19:07:13
Vehicle Breakdown,Breakdown,13.0396997,77.5182903,Tumkur Road,West Zone,Peenya Traffic PS,Jalahalli Cross Junction,High,False,Bus,2024-03-10 01:03:49,2024-03-10 01:15:13
Accident,Accident,13.1250833,77.6124167,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,None,2024-02-06 18:59:47,2024-02-06 20:05:44
Vehicle Breakdown,Breakdown,12.9800539,77.5727642,Other Corridor,Central Zone,Upparpet Traffic PS,Ayurvedic Hospital Junction,Low,False,Bus,2024-02-06 19:26:44,2024-02-06 21:17:42
Vehicle Breakdown,Breakdown,12.85678142,77.66416602,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Low,False,Truck,2024-02-06 20:58:39,2024-02-06 21:27:22
Vehicle Breakdown,Breakdown,12.9679697,77.5909676,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Junction near Halasuru Gate Traffic PS,High,False,Bus,2024-02-06 19:37:01,2024-02-06 21:48:13
Vehicle Breakdown,Breakdown,12.9567473,77.5342133,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,High,False,Bus,2024-02-06 20:52:03,2024-02-06 22:34:40
Vehicle Breakdown,Breakdown,13.0286023,77.5361493,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Truck,2024-03-10 03:51:02,2024-03-10 05:56:51
Vehicle Breakdown,Breakdown,12.9875809,77.619241,Other Corridor,Central Zone,Pulikeshinagar(F.Town) Traffic PS,Junction near Pulikeshinagar(F.Town) Traffic PS,Low,False,Truck,2024-02-06 22:39:39,2024-02-06 23:31:11
Vehicle Breakdown,Breakdown,12.9436333,77.7471783,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Ksrtc Travel House Junction,Low,False,Bus,2024-02-07 01:42:39,2024-02-07 02:01:02
Vehicle Breakdown,Breakdown,13.0299352,77.5366387,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Gorguntepalya Junction,High,False,Truck,2024-02-07 02:47:40,2024-02-07 02:55:34
Vehicle Breakdown,Breakdown,12.9163228,77.570324,Other Corridor,Central Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,Low,False,Bus,2024-02-07 04:10:22,2024-02-07 04:25:09
Vehicle Breakdown,Breakdown,13.0413323,77.6224696,Hennur Main Road,Central Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,Truck,2024-02-07 04:38:21,2024-02-07 06:18:57
Vehicle Breakdown,Breakdown,12.9857333,77.5266267,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Other,2024-03-10 03:59:18,2024-03-10 05:41:52
Other,Other,12.9858915,77.5264086,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,None,2024-03-10 04:31:04,2024-03-10 07:07:56
Other,Other,13.019261,77.6558323,ORR North 1,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,None,2024-02-07 06:53:40,2024-02-07 07:58:48
Road Repair,Construction,12.9694928,77.700667,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-06 21:13:31,2024-02-07 09:05:46
Vehicle Breakdown,Breakdown,12.9627,77.5653883,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,High,False,Bus,2024-03-10 04:55:48,2024-03-10 05:42:25
Vehicle Breakdown,Breakdown,13.0473308,77.5011321,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,Truck,2024-02-07 11:55:57,2024-02-07 12:37:39
Vehicle Breakdown,Breakdown,12.9560094,77.7279445,Varthur Road,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,High,False,Bus,2024-03-10 05:10:21,2024-03-10 05:48:09
Vehicle Breakdown,Breakdown,12.8883535,77.5620501,Other Corridor,Central Zone,Thalagattapura Traffic PS,Junction near Thalagattapura Traffic PS,Low,False,Truck,2024-03-10 05:17:55,2024-03-10 07:16:03
Vehicle Breakdown,Breakdown,13.0083988,77.6957918,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Devasandra Junction,Low,False,Other,2024-02-07 17:25:21,2024-02-07 18:24:12
Vehicle Breakdown,Breakdown,13.0014249,77.5837935,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,Car,2024-02-07 18:53:13,2024-02-07 19:33:35
Other,Other,13.0454386,77.5020767,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,None,2024-02-07 20:51:58,2024-02-07 23:59:41
Vehicle Breakdown,Breakdown,13.044785,77.6266483,Hennur Main Road,Central Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,Truck,2024-02-07 22:10:03,2024-02-07 23:42:21
Other,Other,12.9775418,77.5742287,Other Corridor,Central Zone,Upparpet Traffic PS,Junction near Upparpet Traffic PS,Low,False,None,2024-03-10 06:14:23,2024-03-10 07:03:00
Other,Other,13.0391876,77.5193964,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,None,2024-02-08 00:15:55,2024-02-08 21:59:42
Vehicle Breakdown,Breakdown,12.9427928,77.5974063,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Low,False,LCV,2024-03-10 06:59:26,2024-03-10 07:41:26
Vehicle Breakdown,Breakdown,12.976579,77.5888679,Other Corridor,Central Zone,Cubbon Park Traffic PS,Junction near Cubbon Park Traffic PS,Low,False,Bus,2024-03-10 07:07:12,2024-03-10 08:46:38
Vehicle Breakdown,Breakdown,12.9636778,77.585023,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Town Hall Junction,High,False,Bus,2024-02-08 03:07:01,2024-02-08 03:56:11
Vehicle Breakdown,Breakdown,13.0292386,77.5365365,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,LCV,2024-02-08 04:24:44,2024-02-08 04:32:06
Vehicle Breakdown,Breakdown,12.9558203,77.7157905,Varthur Road,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,High,False,LCV,2024-02-08 04:22:14,2024-02-08 05:21:31
Vehicle Breakdown,Breakdown,12.9806035,77.5707879,Other Corridor,Central Zone,Chamarajpet Traffic PS,Sangolli Rayanna Circle,Low,False,Other,2024-02-08 04:28:19,2024-02-08 04:44:05
Road Repair,Construction,12.906294,77.5854735,ORR West 1,West Zone,J.P. Nagar Traffic PS,Junction near J.P. Nagar Traffic PS,High,False,None,2024-02-08 04:41:44,2024-02-08 05:40:46
Vehicle Breakdown,Breakdown,13.01855644,77.55852789,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Samvidhana Circle,High,False,Bus,2024-02-08 05:20:48,2024-02-08 06:06:38
Vehicle Breakdown,Breakdown,12.99612,77.5847715,Bellary Road 1,North Zone,High ground Traffic PS,Junction near High ground Traffic PS,High,False,Truck,2024-03-10 09:33:24,2024-03-10 11:18:33
Road Repair,Construction,13.0949499,77.5972685,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,None,2024-02-08 05:48:25,2024-02-08 06:05:46
Vehicle Breakdown,Breakdown,13.0040559,77.5830881,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Mahalakshmi Mandir Circle,High,False,Truck,2024-03-10 13:20:36,2024-03-10 13:48:33
Vehicle Breakdown,Breakdown,13.0393024,77.5190934,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,Bus,2024-02-08 07:10:57,2024-02-08 07:23:14
Other,Tree Fall,12.9774516,77.580309,Other Corridor,Central Zone,Upparpet Traffic PS,Junction near Upparpet Traffic PS,Medium,True,None,2024-03-10 18:51:33,2024-03-10 19:48:21
Vehicle Breakdown,Breakdown,13.0858183,77.5937033,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Truck,2024-02-08 10:09:11,2024-02-08 10:54:53
Vehicle Breakdown,Breakdown,12.9859933,77.5793638,Other Corridor,Central Zone,High ground Traffic PS,Shivananda Circle,Low,False,Bus,2024-03-10 21:16:41,2024-03-10 21:59:37
Other,Other,12.9540483,77.5913017,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Low,False,None,2024-03-10 20:52:16,2024-03-11 01:33:06
Other,Other,12.9216667,77.6213533,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,High,False,None,2024-02-08 18:07:51,2024-02-08 18:34:35
Protest,Procession,12.9533243,77.5737148,Other Corridor,Central Zone,V.V.Puram (C.Pet) Traffic PS,Bnv Subramanya Circle,Low,False,None,2024-03-10 21:56:27,2024-03-10 22:35:46
Vehicle Breakdown,Breakdown,12.9872076,77.5801517,Other Corridor,Central Zone,High ground Traffic PS,Dr Hardikar Circle,Low,False,Bus,2024-02-08 19:07:12,2024-02-08 20:43:02
Vehicle Breakdown,Breakdown,12.901769,77.7072031,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,Other,2024-03-10 22:44:57,2024-03-10 23:19:14
Vehicle Breakdown,Breakdown,12.9842607,77.6002114,Other Corridor,Central Zone,Shivajinagar Traffic PS,Junction near Shivajinagar Traffic PS,Low,False,Truck,2024-03-10 23:13:23,2024-03-11 01:22:35
Vehicle Breakdown,Breakdown,13.0400857,77.5186436,Tumkur Road,West Zone,Peenya Traffic PS,Jalahalli Cross Junction,High,False,Bus,2024-03-10 23:26:49,2024-03-10 23:46:40
Other,Other,12.9876992,77.5138278,Magadi Road,West Zone,Kamakshipalya Traffic PS,Srigandakavulu Junction,High,False,None,2024-02-08 20:00:23,2024-02-09 06:11:46
Vehicle Breakdown,Breakdown,12.995394,77.5505958,West of Chord Road,Central Zone,Vijayanagara Traffic PS,Basava Mantapa Circle,High,False,Bus,2024-03-11 01:23:49,2024-03-11 03:19:06
Vehicle Breakdown,Breakdown,12.9757009,77.5572382,Magadi Road,Central Zone,Magadi Road Traffic PS,Junction near Magadi Road Traffic PS,High,False,Bus,2024-02-08 21:42:19,2024-02-08 21:50:02
Vehicle Breakdown,Breakdown,12.9591872,77.7012264,Varthur Road,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Bus,2024-02-08 21:30:42,2024-02-08 23:09:32
Other,Other,13.01862439,77.55800419,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Samvidhana Circle,High,False,None,2024-02-08 22:02:29,2024-02-09 20:09:57
Vehicle Breakdown,Breakdown,13.04244,77.5917,Bellary Road 1,North Zone,Hebbala Traffic PS,Hebbal Junction,High,False,Bus,2024-02-08 22:32:06,2024-02-08 22:44:12
Vehicle Breakdown,Breakdown,12.9233673,77.6003486,Bannerghata Road,Central Zone,Mico Layout Traffic PS,Junction near Mico Layout Traffic PS,High,False,LCV,2024-03-11 02:02:17,2024-03-11 02:12:46
Vehicle Breakdown,Breakdown,13.051243,77.5079024,Other Corridor,Central Zone,Chikkabanavara Traffic PS,Junction near Chikkabanavara Traffic PS,Low,False,Bus,2024-02-08 23:49:22,2024-02-09 01:03:10
Vehicle Breakdown,Breakdown,12.9163992,77.6343214,ORR East 1,South-East Zone,HSR Layout Traffic PS,Junction near HSR Layout Traffic PS,High,False,Bus,2024-02-08 23:42:28,2024-02-09 00:22:59
Vehicle Breakdown,Breakdown,12.9559951,77.5460193,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Truck,2024-03-11 02:05:29,2024-03-11 02:30:31
Vehicle Breakdown,Breakdown,12.9608839,77.5583387,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,High,False,Bus,2024-03-11 02:32:45,2024-03-11 03:21:18
Vehicle Breakdown,Breakdown,12.9869252,77.5800472,Other Corridor,Central Zone,High ground Traffic PS,Dr Hardikar Circle,Medium,True,Bus,2024-02-09 02:32:59,2024-02-09 03:00:38
Vehicle Breakdown,Breakdown,13.0299318,77.5364118,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Gorguntepalya Junction,High,False,Other,2024-02-09 04:58:27,2024-02-09 07:26:52
Other,Other,12.9625255,77.5948692,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Ashirwadam Junction,High,False,None,2024-03-11 05:29:58,2024-03-11 08:04:56
Vehicle Breakdown,Breakdown,12.993745,77.5852617,Bellary Road 1,North Zone,High ground Traffic PS,Make In India Circle,High,False,LCV,2024-03-11 03:52:06,2024-03-11 04:21:53
Vehicle Breakdown,Breakdown,12.8904509,77.5642971,Other Corridor,Central Zone,K.S. Layout Traffic PS,Junction near K.S. Layout Traffic PS,Low,False,Bus,2024-03-11 04:16:54,2024-03-11 06:16:19
Vehicle Breakdown,Breakdown,13.0157783,77.5729483,Other Corridor,Central Zone,Sadashivanagar Traffic PS,Sadashivanagar Junction,Low,False,Bus,2024-02-09 05:41:10,2024-02-09 06:11:18
Vehicle Breakdown,Breakdown,12.9612079,77.5590824,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,High,False,Bus,2024-02-09 05:58:22,2024-02-09 07:17:48
Vehicle Breakdown,Breakdown,13.0201267,77.65254,ORR North 1,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,Car,2024-02-09 07:11:04,2024-02-09 07:44:49
Vehicle Breakdown,Breakdown,12.9417005,77.7471249,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Ksrtc Travel House Junction,Low,False,Other,2024-03-11 07:28:57,2024-03-11 08:40:40
Vehicle Breakdown,Breakdown,12.9663381,77.5869429,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Halsuru Gate Police Station Junction,High,False,Bus,2024-02-09 08:42:23,2024-02-09 09:23:52
Other,Tree Fall,12.9840583,77.5490758,West of Chord Road,Central Zone,Magadi Road Traffic PS,Junction near Magadi Road Traffic PS,High,False,None,2024-03-11 09:52:47,2024-03-11 10:24:35
Vehicle Breakdown,Breakdown,12.8699916,77.6534081,Hosur Road,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,High,False,Bus,2024-02-09 09:38:11,2024-02-09 10:25:18
